night_of,in_transit_flag,ew,BTJD,normalized_phase,campaign,ew_unc,BTJD_range,phase_range,N_exposures
2020-04-26,False,0.27426674823595265,1966.7763826613082,-0.19175263702796286,April 2020,0.005614698826714544,0.006110667483881116,0.0012703819687586992,4
2020-04-27,True,0.28183195188118476,1967.7862618184492,0.01819697571753713,April 2020,0.008758828224741584,0.025664036395028234,0.005335444804976242,12
2020-04-28,False,0.21429025137678728,1968.7797700517112,0.22474314251167832,April 2020,0.0030095079613927057,0.005922472337260842,0.001231256992394833,4
2020-05-19,False,0.26193236515775686,1989.9528124275384,-0.37347074672930825,May 2020,0.0037857011447754974,0.00592242437414825,0.0012312470210662507,4
2020-05-20,False,0.2993996910681307,1990.938629038399,-0.16852363575596865,May 2020,0.003,0.005922527518123388,0.0012312684642631633,4
2020-05-21,True,0.3168210911151799,1991.7208686937645,-0.005899314264821804,May 2020,0.008498451534490976,0.025663962587714195,0.005335429460747291,14
2020-05-22,False,0.20638529922526483,1992.933707699529,0.24624479404980157,May 2020,0.006836296604010147,0.005922423675656319,0.001231246875852715,4
2020-05-23,False,0.21949404251030458,1993.9380316603929,0.45503950494504447,May 2020,0.0030927733268853864,0.005922510754317045,0.0012312649791386132,4
2020-06-12,False,0.21130580131023155,2013.8886393099092,-0.39731340239605406,June 2020,0.003,0.003948377212509513,0.0008208509512031281,3
2020-06-13,False,0.286108868691619,2014.8868094464997,-0.18979804558390959,June 2020,0.009970885950167265,0.005922484211623669,0.0012312594610247168,4
2020-06-14,False,0.32610861106775296,2015.6441268163424,-0.03235496202330118,June 2020,0.005723203364034852,0.009870757348835468,0.002052088775412887,6
2020-06-14,True,0.32982329392074056,2015.8335505071252,0.0070254234846708246,June 2020,0.011902956896753856,0.12430807249620557,0.02584312340458557,12
2020-06-15,False,0.2370435234612107,2016.8749829570297,0.22353483256786205,June 2020,0.004885494606280419,0.0059222690761089325,0.0012312147352595837,4
2020-06-17,False,0.2233411421663381,2018.8799293574411,-0.3596452762943863,June 2020,0.00572228338052129,0.005922345677390695,0.0012312306603426415,4
2020-07-21,False,0.23049860330142607,2052.7922616486903,-0.3094145813665371,P4,0.003,0.003146236529573798,0.0006540892901084339,2
2020-07-31,False,0.2538531689256943,2062.7485584311653,-0.2395425188741132,P4,0.003,0.003146154573187232,0.0006540722517217185,2
2021-01-30,False,0.28816317252683876,2246.029346635798,-0.13624051966875472,P4,0.0030234247038656292,0.0031463310588151217,0.0006541089423385688,2
2021-01-31,False,0.19093400674674638,2247.021955135744,0.07011859636797688,P4,0.004699808625189767,0.0031462120823562145,0.0006540842076351236,2
2021-02-23,False,0.24710843505026947,2269.961617569439,-0.16082244206206756,P4,0.003,0.0,0.0,1
2021-02-25,False,0.1883971810086297,2271.9396144058555,0.25039474851057064,P4,0.009938097329821925,0.003146277740597725,0.0006540978577062873,2
2021-03-03,False,0.17428442876479439,2277.9326243470423,0.49631621092987577,P4,0.009944266667743102,0.0031462465412914753,0.0006540913715022689,2
2021-03-30,False,0.17925385845736072,2304.8584305627737,0.09407763404537613,P4,0.003,0.003146098693832755,0.0006540606346398525,2
2022-04-27,False,0.2986591205574213,2697.7897524249274,-0.21715962916186426,April 2022,0.00803745442985929,0.006045792251825333,0.001256894681937723,4
2022-04-28,True,0.31184857616578043,2698.7823090727907,-0.010811292954218149,April 2022,0.007453496696059638,0.02597252232953906,0.005399577728237404,14
2022-04-29,False,0.19767734057492942,2699.7748124374775,0.1955259659060357,April 2022,0.0052879091700486144,0.0059224620927125216,0.0012312548625964814,4
2022-04-30,False,0.19619636672082724,2700.7705083084293,0.4025269333390061,April 2022,0.010109723483757327,0.005922460462898016,0.0012312545237649075,4
2022-05-01,False,0.20968822792999176,2701.7698092573555,-0.38972261873888675,April 2022,0.005783159339282351,0.006045949645340443,0.0012569274033849276,4
2022-06-19,False,0.2700112816939773,2750.6395946051925,-0.22990058836905125,P4,0.005950607872503995,0.004010035190731287,0.0008336693845362592,3
2022-06-21,False,0.2230693034329634,2752.752436280173,0.20935027478415535,P4,0.009924355791940327,0.11375726386904716,0.02364965483979753,6
2022-06-22,False,0.21715037811848306,2753.856514386212,0.4388834512682102,P4,0.0033583799823925717,0.004009990021586418,0.0008336599940617639,3
2022-06-25,True,0.32377714875382135,2756.6352274478413,0.01656616418950114,P4,0.003,0.0,0.0,1
2022-06-30,False,0.20722321768940005,2761.8493190677837,0.10055379645769856,P4,0.003,0.0,0.0,1
2022-07-09,False,0.34137061942044367,2770.818042511586,-0.034886468317855426,P4,0.003,0.0,0.0,1
2022-07-10,False,0.22345105806058527,2771.8117579701357,0.1717027797386172,P4,0.003,0.0,0.0,1
2022-07-12,False,0.21924710299506922,2773.8166715585007,-0.4114841506095575,P4,0.003804129628505183,0.004010029602795839,0.0008336682228280434,3
2022-07-14,True,0.32670930886752103,2775.78279710887,-0.0027349502818261326,P4,0.003,0.0,0.0,1
2022-07-15,False,0.2067072890098008,2776.800326500088,0.2088051138265742,P4,0.003,0.0,0.0,1
2022-07-19,False,0.22219521082050225,2780.7717359927483,0.03444437882359116,P4,0.003,0.0,0.0,1
2022-07-28,False,0.3525320802057833,2789.740969086997,-0.10088993177604359,P4,0.003,0.0,0.0,1
2022-07-29,False,0.2071421269239683,2790.7808278952725,0.11529232385682746,P4,0.003,0.0,0.0,1
